dataset,metadata,color,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,split11,split12,split13,split14,split15,split16,split17,split18,split19
Shuffle3_PhILR_prev_filt90_IQtree_blw.sqrt_enorm,Treatment,#f7d8a0,0.8305084745762712,0.8813559322033898,0.9322033898305084,0.864406779661017,1.0,0.8813559322033898,0.9491525423728814,0.7966101694915254,0.8305084745762712,0.864406779661017,0.847457627118644,0.8813559322033898,0.9661016949152542,0.9322033898305084,0.9322033898305084,0.864406779661017,0.8813559322033898,0.9152542372881356,0.9830508474576272,0.8813559322033898
alr_DADA2,Treatment,white,0.8135593220338984,0.8813559322033898,0.864406779661017,0.847457627118644,0.864406779661017,0.9152542372881356,0.8983050847457628,0.7966101694915254,0.7966101694915254,0.864406779661017,0.7627118644067796,0.847457627118644,0.9491525423728814,0.8813559322033898,0.9322033898305084,0.847457627118644,0.847457627118644,0.9152542372881356,0.9152542372881356,0.8813559322033898
clr_DADA2,Treatment,white,0.711864406779661,0.7796610169491526,0.7966101694915254,0.7457627118644068,0.711864406779661,0.711864406779661,0.6779661016949152,0.5932203389830508,0.6440677966101694,0.7288135593220338,0.7457627118644068,0.7457627118644068,0.6610169491525424,0.7627118644067796,0.7966101694915254,0.7966101694915254,0.5254237288135594,0.8305084745762712,0.7627118644067796,0.6949152542372882
raw_DADA2,Treatment,white,0.7627118644067796,0.864406779661017,0.9661016949152542,0.847457627118644,0.8983050847457628,0.864406779661017,0.9322033898305084,0.8135593220338984,0.8305084745762712,0.8135593220338984,0.7627118644067796,0.9491525423728814,0.9322033898305084,0.9322033898305084,0.9491525423728814,0.8983050847457628,0.8813559322033898,0.8813559322033898,0.9830508474576272,0.7966101694915254
lognorm_DADA2,Treatment,y,0.7966101694915254,0.8983050847457628,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.8983050847457628,0.9491525423728814,0.7796610169491526,0.864406779661017,0.8813559322033898,0.7966101694915254,0.8813559322033898,0.9661016949152542,0.8813559322033898,0.9491525423728814,0.9322033898305084,0.864406779661017,0.9152542372881356,0.9661016949152542,0.8813559322033898
lognorm_Silva_DADA2,Treatment,y,0.8135593220338984,0.9322033898305084,0.864406779661017,0.864406779661017,0.9661016949152542,0.8813559322033898,0.9491525423728814,0.8135593220338984,0.7627118644067796,0.847457627118644,0.7457627118644068,0.8813559322033898,0.9491525423728814,0.9152542372881356,0.8983050847457628,0.8135593220338984,0.847457627118644,0.8983050847457628,0.9152542372881356,0.8135593220338984
Silva_DADA2,Treatment,white,0.7796610169491526,0.864406779661017,0.9152542372881356,0.847457627118644,0.864406779661017,0.847457627118644,0.8305084745762712,0.7457627118644068,0.7457627118644068,0.7966101694915254,0.7457627118644068,0.7627118644067796,0.9152542372881356,0.864406779661017,0.8983050847457628,0.7457627118644068,0.8135593220338984,0.847457627118644,0.864406779661017,0.7796610169491526
Silva_DADA2_blw.sqrt_enorm,Treatment,#050598,0.711864406779661,0.8305084745762712,0.7966101694915254,0.8135593220338984,0.8305084745762712,0.8135593220338984,0.8135593220338984,0.7457627118644068,0.7627118644067796,0.6610169491525424,0.711864406779661,0.8135593220338984,0.8135593220338984,0.847457627118644,0.8135593220338984,0.7966101694915254,0.7966101694915254,0.7796610169491526,0.9152542372881356,0.6610169491525424
Shuffle1_PhILR_Silva_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.7796610169491526,0.8813559322033898,0.8135593220338984,0.7966101694915254,0.8983050847457628,0.8305084745762712,0.9152542372881356,0.7796610169491526,0.6440677966101694,0.7457627118644068,0.7457627118644068,0.847457627118644,0.9152542372881356,0.847457627118644,0.9491525423728814,0.864406779661017,0.8305084745762712,0.8135593220338984,0.9322033898305084,0.8135593220338984
Shuffle2_PhILR_Silva_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.7627118644067796,0.8135593220338984,0.8305084745762712,0.7966101694915254,0.8983050847457628,0.8983050847457628,0.847457627118644,0.847457627118644,0.7627118644067796,0.7966101694915254,0.8135593220338984,0.9322033898305084,0.8813559322033898,0.8813559322033898,0.8983050847457628,0.847457627118644,0.847457627118644,0.847457627118644,0.9322033898305084,0.8305084745762712
Shuffle3_PhILR_Silva_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.847457627118644,0.8813559322033898,0.864406779661017,0.8305084745762712,0.8813559322033898,0.8135593220338984,0.864406779661017,0.7627118644067796,0.847457627118644,0.7966101694915254,0.7627118644067796,0.864406779661017,0.847457627118644,0.9491525423728814,0.9322033898305084,0.8813559322033898,0.8305084745762712,0.8813559322033898,0.9152542372881356,0.8305084745762712
Filtered_Silva_DADA2,Treatment,white,0.7288135593220338,0.8305084745762712,0.8135593220338984,0.7966101694915254,0.7627118644067796,0.8305084745762712,0.7796610169491526,0.7288135593220338,0.7966101694915254,0.6779661016949152,0.6949152542372882,0.8305084745762712,0.847457627118644,0.8135593220338984,0.7627118644067796,0.7627118644067796,0.6949152542372882,0.7457627118644068,0.8305084745762712,0.7627118644067796
Filtered_Silva_DADA2_blw.sqrt_enorm,Treatment,#050598,0.6610169491525424,0.7796610169491526,0.7457627118644068,0.7627118644067796,0.8135593220338984,0.8135593220338984,0.7966101694915254,0.6779661016949152,0.6779661016949152,0.6949152542372882,0.711864406779661,0.7796610169491526,0.7796610169491526,0.8305084745762712,0.8813559322033898,0.7457627118644068,0.711864406779661,0.7288135593220338,0.847457627118644,0.7796610169491526
Shuffle1_PhILR_Filtered_Silva_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.711864406779661,0.8305084745762712,0.8305084745762712,0.7627118644067796,0.847457627118644,0.7627118644067796,0.8305084745762712,0.6949152542372882,0.6610169491525424,0.7288135593220338,0.6610169491525424,0.7796610169491526,0.8813559322033898,0.864406779661017,0.8305084745762712,0.7796610169491526,0.7966101694915254,0.7627118644067796,0.847457627118644,0.8305084745762712
Shuffle2_PhILR_Filtered_Silva_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.6949152542372882,0.8135593220338984,0.7796610169491526,0.7627118644067796,0.7627118644067796,0.847457627118644,0.8813559322033898,0.6779661016949152,0.7796610169491526,0.7288135593220338,0.7796610169491526,0.711864406779661,0.8135593220338984,0.8305084745762712,0.8305084745762712,0.7966101694915254,0.7796610169491526,0.8305084745762712,0.8813559322033898,0.711864406779661
Shuffle3_PhILR_Filtered_Silva_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.7288135593220338,0.7966101694915254,0.847457627118644,0.7627118644067796,0.7457627118644068,0.847457627118644,0.7627118644067796,0.7288135593220338,0.7627118644067796,0.7627118644067796,0.6610169491525424,0.7457627118644068,0.7966101694915254,0.8305084745762712,0.7796610169491526,0.7966101694915254,0.6779661016949152,0.7288135593220338,0.8813559322033898,0.7627118644067796
Filtered_UPGMA_DADA2,Treatment,white,0.7288135593220338,0.7966101694915254,0.864406779661017,0.8135593220338984,0.9152542372881356,0.8305084745762712,0.8813559322033898,0.8305084745762712,0.7627118644067796,0.8135593220338984,0.7966101694915254,0.9152542372881356,0.8983050847457628,0.864406779661017,0.9322033898305084,0.7627118644067796,0.8135593220338984,0.847457627118644,0.9661016949152542,0.7288135593220338
Filtered_UPGMA_DADA2_blw.sqrt_enorm,Treatment,#050598,0.7966101694915254,0.8983050847457628,0.9491525423728814,0.847457627118644,0.8983050847457628,0.8813559322033898,0.9322033898305084,0.8305084745762712,0.7796610169491526,0.847457627118644,0.8305084745762712,0.864406779661017,0.9322033898305084,0.8983050847457628,0.9661016949152542,0.9152542372881356,0.8305084745762712,0.864406779661017,0.9491525423728814,0.847457627118644
Shuffle1_PhILR_Filtered_UPGMA_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.8135593220338984,0.8813559322033898,0.7966101694915254,0.7796610169491526,0.9152542372881356,0.8813559322033898,0.8813559322033898,0.7627118644067796,0.7966101694915254,0.7966101694915254,0.7796610169491526,0.864406779661017,0.9661016949152542,0.9152542372881356,0.9152542372881356,0.7796610169491526,0.8135593220338984,0.9152542372881356,0.9830508474576272,0.847457627118644
Shuffle2_PhILR_Filtered_UPGMA_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.8135593220338984,0.864406779661017,0.8983050847457628,0.8135593220338984,0.9152542372881356,0.864406779661017,0.9152542372881356,0.7288135593220338,0.7966101694915254,0.8135593220338984,0.847457627118644,0.9152542372881356,0.8813559322033898,0.864406779661017,0.9152542372881356,0.7457627118644068,0.8305084745762712,0.864406779661017,0.9322033898305084,0.8305084745762712
Shuffle3_PhILR_Filtered_UPGMA_DADA2_blw.sqrt_enorm,Treatment,#f7d8a0,0.7966101694915254,0.864406779661017,0.8813559322033898,0.864406779661017,0.8813559322033898,0.8813559322033898,0.847457627118644,0.7796610169491526,0.7796610169491526,0.847457627118644,0.8135593220338984,0.8983050847457628,0.8983050847457628,0.8983050847457628,0.9152542372881356,0.9152542372881356,0.7796610169491526,0.8813559322033898,0.9322033898305084,0.7966101694915254
Filtered_IQtree,Treatment,white,0.7457627118644068,0.8813559322033898,0.864406779661017,0.7457627118644068,0.847457627118644,0.847457627118644,0.9491525423728814,0.7627118644067796,0.7966101694915254,0.7457627118644068,0.7966101694915254,0.7966101694915254,0.864406779661017,0.8305084745762712,0.8813559322033898,0.8305084745762712,0.7288135593220338,0.864406779661017,0.9152542372881356,0.7457627118644068
Filtered_IQtree_blw.sqrt_enorm,Treatment,#050598,0.711864406779661,0.864406779661017,0.847457627118644,0.847457627118644,0.8813559322033898,0.9491525423728814,0.9661016949152542,0.8135593220338984,0.7796610169491526,0.8305084745762712,0.7457627118644068,0.864406779661017,0.8813559322033898,0.8983050847457628,0.9491525423728814,0.8813559322033898,0.7796610169491526,0.8813559322033898,0.9322033898305084,0.8305084745762712
Shuffle1_PhILR_Filtered_IQtree_blw.sqrt_enorm,Treatment,#f7d8a0,0.7796610169491526,0.864406779661017,0.864406779661017,0.8135593220338984,0.9152542372881356,0.8305084745762712,0.8983050847457628,0.7796610169491526,0.7627118644067796,0.7966101694915254,0.8135593220338984,0.8813559322033898,0.8305084745762712,0.8813559322033898,0.9491525423728814,0.8135593220338984,0.7966101694915254,0.8983050847457628,0.9152542372881356,0.7966101694915254
Shuffle2_PhILR_Filtered_IQtree_blw.sqrt_enorm,Treatment,#f7d8a0,0.864406779661017,0.864406779661017,0.864406779661017,0.8305084745762712,0.8813559322033898,0.9152542372881356,0.9152542372881356,0.8305084745762712,0.7457627118644068,0.8305084745762712,0.7966101694915254,0.8135593220338984,0.9152542372881356,0.9152542372881356,0.8983050847457628,0.8983050847457628,0.8305084745762712,0.864406779661017,0.9152542372881356,0.8135593220338984
Shuffle3_PhILR_Filtered_IQtree_blw.sqrt_enorm,Treatment,#f7d8a0,0.6779661016949152,0.8813559322033898,0.864406779661017,0.7796610169491526,0.847457627118644,0.8813559322033898,0.8813559322033898,0.8305084745762712,0.7966101694915254,0.864406779661017,0.7627118644067796,0.847457627118644,0.864406779661017,0.8983050847457628,0.9491525423728814,0.8305084745762712,0.8305084745762712,0.847457627118644,0.9152542372881356,0.8305084745762712
alr_prev_filt_DADA2,Visit,plum,0.4576271186440678,0.3898305084745763,0.3728813559322034,0.3389830508474576,0.3898305084745763,0.3559322033898305,0.3898305084745763,0.3728813559322034,0.3220338983050847,0.3728813559322034,0.3220338983050847,0.3898305084745763,0.3220338983050847,0.3559322033898305,0.288135593220339,0.4406779661016949,0.3559322033898305,0.2542372881355932,0.3559322033898305,0.2711864406779661
clr_prev_filt_DADA2,Visit,plum,0.4406779661016949,0.423728813559322,0.3389830508474576,0.3728813559322034,0.3898305084745763,0.3559322033898305,0.423728813559322,0.3728813559322034,0.3898305084745763,0.3559322033898305,0.3559322033898305,0.2711864406779661,0.4067796610169492,0.3898305084745763,0.3898305084745763,0.3898305084745763,0.3559322033898305,0.288135593220339,0.3050847457627119,0.3050847457627119
